relName,bug,index
src/main/java/org/apache/commons/math/distribution/AbstractRealDistribution.java,1,170
src/main/java/org/apache/commons/math/distribution/BetaDistribution.java,1,171
src/main/java/org/apache/commons/math/distribution/CauchyDistribution.java,1,173
src/main/java/org/apache/commons/math/distribution/ChiSquaredDistribution.java,1,174
src/main/java/org/apache/commons/math/distribution/ConstantRealDistribution.java,1,175
src/main/java/org/apache/commons/math/distribution/EnumeratedDistribution.java,1,176
src/main/java/org/apache/commons/math/distribution/EnumeratedRealDistribution.java,1,178
src/main/java/org/apache/commons/math/distribution/ExponentialDistribution.java,1,179
src/main/java/org/apache/commons/math/distribution/FDistribution.java,1,180
src/main/java/org/apache/commons/math/distribution/GammaDistribution.java,1,181
src/main/java/org/apache/commons/math/distribution/GumbelDistribution.java,1,183
src/main/java/org/apache/commons/math/distribution/LaplaceDistribution.java,1,187
src/main/java/org/apache/commons/math/distribution/LevyDistribution.java,1,188
src/main/java/org/apache/commons/math/distribution/LogNormalDistribution.java,1,189
src/main/java/org/apache/commons/math/distribution/LogisticDistribution.java,1,190
src/main/java/org/apache/commons/math/distribution/NakagamiDistribution.java,1,195
src/main/java/org/apache/commons/math/distribution/NormalDistribution.java,1,196
src/main/java/org/apache/commons/math/distribution/ParetoDistribution.java,1,197
src/main/java/org/apache/commons/math/distribution/PoissonDistribution.java,1,199
src/main/java/org/apache/commons/math/distribution/TDistribution.java,1,202
src/main/java/org/apache/commons/math/distribution/TriangularDistribution.java,1,203
src/main/java/org/apache/commons/math/distribution/WeibullDistribution.java,1,206
