relName,bug,index
src/main/java/org/apache/commons/math/ConvergingAlgorithmImpl.java,1,3
src/main/java/org/apache/commons/math/FunctionEvaluationException.java,1,8
src/main/java/org/apache/commons/math/MathRuntimeException.java,1,11
src/main/java/org/apache/commons/math/analysis/BivariateRealFunction.java,1,16
src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolatingFunction.java,1,35
src/main/java/org/apache/commons/math/analysis/interpolation/BivariateRealGridInterpolator.java,1,36
src/main/java/org/apache/commons/math/analysis/interpolation/LoessInterpolator.java,0,38
src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolatingFunction.java,1,39
src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolator.java,1,40
src/main/java/org/apache/commons/math/analysis/interpolation/SmoothingBicubicSplineInterpolator.java,1,43
src/main/java/org/apache/commons/math/analysis/interpolation/SplineInterpolator.java,1,44
src/main/java/org/apache/commons/math/distribution/ChiSquaredDistribution.java,1,76
src/main/java/org/apache/commons/math/distribution/ChiSquaredDistributionImpl.java,1,77
src/main/java/org/apache/commons/math/distribution/PoissonDistribution.java,1,95
src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java,1,96
src/main/java/org/apache/commons/math/fraction/BigFraction.java,0,114
src/main/java/org/apache/commons/math/fraction/Fraction.java,0,117
src/main/java/org/apache/commons/math/geometry/Vector3D.java,0,148
src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java,1,189
src/main/java/org/apache/commons/math/linear/RealVector.java,1,196
src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java,1,200
src/main/java/org/apache/commons/math/linear/SparseRealVector.java,0,204
src/main/java/org/apache/commons/math/linear/TriDiagonalTransformer.java,0,205
src/main/java/org/apache/commons/math/ode/MultistepIntegrator.java,1,213
src/main/java/org/apache/commons/math/ode/jacobians/FirstOrderIntegratorWithJacobians.java,1,221
src/main/java/org/apache/commons/math/ode/jacobians/ParameterizedODE.java,1,223
src/main/java/org/apache/commons/math/ode/nonstiff/AdamsBashforthIntegrator.java,1,226
src/main/java/org/apache/commons/math/ode/nonstiff/AdamsMoultonIntegrator.java,1,228
src/main/java/org/apache/commons/math/ode/nonstiff/AdaptiveStepsizeIntegrator.java,1,230
src/main/java/org/apache/commons/math/ode/nonstiff/DormandPrince54Integrator.java,1,233
src/main/java/org/apache/commons/math/ode/nonstiff/DormandPrince853Integrator.java,1,235
src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,1,237
src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,1,242
src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerStepInterpolator.java,1,243
src/main/java/org/apache/commons/math/ode/nonstiff/HighamHall54Integrator.java,1,244
src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java,1,267
src/main/java/org/apache/commons/math/optimization/SimpleRealPointChecker.java,1,272
src/main/java/org/apache/commons/math/optimization/SimpleScalarValueChecker.java,1,273
src/main/java/org/apache/commons/math/optimization/SimpleVectorialPointChecker.java,1,274
src/main/java/org/apache/commons/math/optimization/SimpleVectorialValueChecker.java,1,275
src/main/java/org/apache/commons/math/optimization/UnivariateRealOptimizer.java,1,276
src/main/java/org/apache/commons/math/optimization/direct/DirectSearchOptimizer.java,1,279
src/main/java/org/apache/commons/math/optimization/direct/MultiDirectional.java,1,280
src/main/java/org/apache/commons/math/optimization/direct/NelderMead.java,1,281
src/main/java/org/apache/commons/math/optimization/fitting/PolynomialFitter.java,1,287
src/main/java/org/apache/commons/math/optimization/general/AbstractScalarDifferentiableOptimizer.java,1,290
src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java,1,293
src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java,0,302
src/main/java/org/apache/commons/math/optimization/linear/SimplexTableau.java,0,303
src/main/java/org/apache/commons/math/optimization/univariate/AbstractUnivariateRealOptimizer.java,1,305
src/main/java/org/apache/commons/math/random/AbstractRandomGenerator.java,0,307
src/main/java/org/apache/commons/math/stat/clustering/KMeansPlusPlusClusterer.java,0,333
src/main/java/org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,1,335
src/main/java/org/apache/commons/math/stat/descriptive/SummaryStatistics.java,0,346
src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java,0,362
src/main/java/org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,1,374
src/main/java/org/apache/commons/math/stat/regression/AbstractMultipleLinearRegression.java,0,385
src/main/java/org/apache/commons/math/stat/regression/OLSMultipleLinearRegression.java,0,388
src/main/java/org/apache/commons/math/util/MathUtils.java,1,401
