relName,bug,index
src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolatingFunction.java,0,68
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialsUtils.java,0,89
src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java,1,103
src/main/java/org/apache/commons/math/complex/Complex.java,0,114
src/main/java/org/apache/commons/math/dfp/Dfp.java,0,120
src/main/java/org/apache/commons/math/distribution/AbstractRealDistribution.java,1,126
src/main/java/org/apache/commons/math/distribution/HypergeometricDistribution.java,0,134
src/main/java/org/apache/commons/math/distribution/LogNormalDistribution.java,0,137
src/main/java/org/apache/commons/math/distribution/NormalDistribution.java,0,138
src/main/java/org/apache/commons/math/distribution/WeibullDistribution.java,0,147
src/main/java/org/apache/commons/math/exception/util/LocalizedFormats.java,1,177
src/main/java/org/apache/commons/math/filter/KalmanFilter.java,0,180
src/main/java/org/apache/commons/math/fraction/BigFraction.java,0,184
src/main/java/org/apache/commons/math/geometry/euclidean/threed/PolyhedronsSet.java,0,230
src/main/java/org/apache/commons/math/geometry/euclidean/twod/PolygonsSet.java,0,241
src/main/java/org/apache/commons/math/geometry/partitioning/BSPTree.java,0,248
src/main/java/org/apache/commons/math/linear/ArrayRealVector.java,1,268
src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java,1,301
src/main/java/org/apache/commons/math/linear/RealVector.java,1,308
src/main/java/org/apache/commons/math/ode/AbstractIntegrator.java,0,320
src/main/java/org/apache/commons/math/ode/ExpandableStatefulODE.java,0,324
src/main/java/org/apache/commons/math/optimization/fitting/HarmonicFitter.java,1,413
src/main/java/org/apache/commons/math/optimization/fitting/PolynomialFitter.java,1,414
src/main/java/org/apache/commons/math/optimization/general/GaussNewtonOptimizer.java,1,419
src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java,1,420
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,1,435
src/main/java/org/apache/commons/math/random/BitsStreamGenerator.java,0,441
src/main/java/org/apache/commons/math/random/EmpiricalDistribution.java,1,443
src/main/java/org/apache/commons/math/random/RandomDataImpl.java,1,451
src/main/java/org/apache/commons/math/random/ValueServer.java,1,458
src/main/java/org/apache/commons/math/special/Beta.java,0,465
src/main/java/org/apache/commons/math/stat/correlation/SpearmansCorrelation.java,0,476
src/main/java/org/apache/commons/math/stat/descriptive/rank/Percentile.java,0,510
src/main/java/org/apache/commons/math/stat/inference/MannWhitneyUTest.java,0,516
src/main/java/org/apache/commons/math/stat/regression/OLSMultipleLinearRegression.java,0,530
src/main/java/org/apache/commons/math/util/MultidimensionalCounter.java,0,560
src/main/java/org/apache/commons/math/util/ResizableDoubleArray.java,1,566
