relName,bug,index
src/main/java/org/apache/commons/compress/archivers/ArchiveStreamFactory.java,0,4
src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveEntry.java,0,9
src/main/java/org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java,1,18
src/main/java/org/apache/commons/compress/archivers/dump/DumpArchiveSummary.java,1,19
src/main/java/org/apache/commons/compress/archivers/tar/TarConstants.java,1,34
src/main/java/org/apache/commons/compress/archivers/zip/Zip64ExtendedInformationExtraField.java,0,49
src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java,1,52
src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,0,53
src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java,0,59
src/main/java/org/apache/commons/compress/changes/ChangeSet.java,0,64
src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java,0,70
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,0,71
src/main/java/org/apache/commons/compress/utils/IOUtils.java,0,90
