relName,bug,index
tika-core/src/main/java/org/apache/tika/detect/NameDetector.java,0,70
tika-core/src/main/java/org/apache/tika/fork/ClassLoaderProxy.java,0,89
tika-app/src/main/java/org/apache/tika/gui/TikaGUI.java,1,107
tika-core/src/main/java/org/apache/tika/mime/MediaTypeRegistry.java,0,178
tika-core/src/main/java/org/apache/tika/mime/MimeTypes.java,0,181
tika-core/src/main/java/org/apache/tika/mime/ProbabilisticMimeDetectionSelector.java,0,187
tika-parsers/src/main/java/org/apache/tika/parser/chm/core/ChmExtractor.java,0,222
tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmBlockInfo.java,0,225
tika-parsers/src/main/java/org/apache/tika/parser/executable/ExecutableParser.java,0,243
tika-parsers/src/main/java/org/apache/tika/parser/feed/FeedParser.java,1,245
tika-parsers/src/main/java/org/apache/tika/parser/geo/topic/NameEntityExtractor.java,1,250
tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlHandler.java,0,257
tika-parsers/src/main/java/org/apache/tika/parser/mail/RFC822Parser.java,0,286
tika-parsers/src/main/java/org/apache/tika/parser/microsoft/HSLFExtractor.java,1,294
tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,0,307
tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/OOXMLExtractorFactory.java,0,311
tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/XWPFListManager.java,1,316
tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/XWPFWordExtractorDecorator.java,0,317
tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRParser.java,1,334
tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParserConfig.java,1,344
tika-parsers/src/main/java/org/apache/tika/parser/pkg/PackageParser.java,0,347
tika-parsers/src/main/java/org/apache/tika/parser/pkg/ZipContainerDetector.java,0,349
tika-parsers/src/main/java/org/apache/tika/parser/rtf/RTFEmbObjHandler.java,1,353
tika-parsers/src/main/java/org/apache/tika/parser/rtf/RTFParser.java,1,355
tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetDetector.java,0,362
tika-parsers/src/main/java/org/apache/tika/parser/utils/CommonsDigester.java,0,374
tika-core/src/main/java/org/apache/tika/sax/Link.java,1,394
tika-core/src/main/java/org/apache/tika/sax/LinkContentHandler.java,1,395
