relName,bug,index
core/src/main/java/org/apache/calcite/adapter/clone/ArrayTable.java,1,3
core/src/main/java/org/apache/calcite/adapter/clone/CloneSchema.java,1,4
core/src/main/java/org/apache/calcite/adapter/enumerable/AggAddContext.java,1,7
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregateRule.java,1,16
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCollect.java,1,20
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableIntersect.java,0,31
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoin.java,0,37
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMinus.java,0,39
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProject.java,1,41
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectRule.java,1,42
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoin.java,1,46
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoinRule.java,1,47
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScan.java,1,53
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUncollect.java,1,56
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUnion.java,0,58
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindow.java,1,62
core/src/main/java/org/apache/calcite/adapter/enumerable/StrictAggImplementor.java,1,74
mongodb/src/main/java/org/apache/calcite/adapter/mongodb/MongoRules.java,1,107
avatica/src/main/java/org/apache/calcite/avatica/AvaticaConnection.java,1,144
avatica/src/main/java/org/apache/calcite/avatica/AvaticaDatabaseMetaData.java,1,145
avatica/src/main/java/org/apache/calcite/avatica/AvaticaJdbc41Factory.java,1,147
avatica/src/main/java/org/apache/calcite/avatica/AvaticaParameter.java,1,148
avatica/src/main/java/org/apache/calcite/avatica/AvaticaResultSet.java,1,150
avatica/src/main/java/org/apache/calcite/avatica/AvaticaUtils.java,1,153
avatica/src/main/java/org/apache/calcite/avatica/BuiltInConnectionProperty.java,1,154
avatica/src/main/java/org/apache/calcite/avatica/ColumnMetaData.java,1,155
avatica/src/main/java/org/apache/calcite/avatica/ConnectStringParser.java,0,156
avatica/src/main/java/org/apache/calcite/avatica/ConnectionConfig.java,1,157
avatica/src/main/java/org/apache/calcite/avatica/ConnectionConfigImpl.java,1,158
avatica/src/main/java/org/apache/calcite/avatica/ConnectionPropertiesImpl.java,1,159
avatica/src/main/java/org/apache/calcite/avatica/Helper.java,1,164
avatica/src/main/java/org/apache/calcite/avatica/SqlType.java,1,168
avatica/src/main/java/org/apache/calcite/avatica/UnregisteredDriver.java,1,169
avatica-server/src/main/java/org/apache/calcite/avatica/jdbc/JdbcResultSet.java,1,171
avatica/src/main/java/org/apache/calcite/avatica/remote/AvaticaRemoteConnectionProperty.java,1,173
avatica/src/main/java/org/apache/calcite/avatica/remote/Driver.java,1,174
avatica/src/main/java/org/apache/calcite/avatica/remote/Handler.java,1,175
avatica/src/main/java/org/apache/calcite/avatica/remote/JsonHandler.java,1,176
avatica/src/main/java/org/apache/calcite/avatica/remote/JsonService.java,1,177
avatica-server/src/main/java/org/apache/calcite/avatica/server/AvaticaHandler.java,1,184
avatica-server/src/main/java/org/apache/calcite/avatica/server/Main.java,1,186
avatica/src/main/java/org/apache/calcite/avatica/util/ArrayImpl.java,1,188
avatica/src/main/java/org/apache/calcite/avatica/util/DateTimeUtils.java,1,193
core/src/main/java/org/apache/calcite/interpreter/Interpreter.java,1,219
core/src/main/java/org/apache/calcite/interpreter/ProjectNode.java,1,226
core/src/main/java/org/apache/calcite/interpreter/Sink.java,1,229
core/src/main/java/org/apache/calcite/interpreter/SortNode.java,0,230
core/src/main/java/org/apache/calcite/interpreter/Source.java,1,231
core/src/main/java/org/apache/calcite/interpreter/TableScanNode.java,1,232
core/src/main/java/org/apache/calcite/jdbc/CalciteJdbc41Factory.java,1,238
core/src/main/java/org/apache/calcite/jdbc/CalcitePrepare.java,1,240
core/src/main/java/org/apache/calcite/jdbc/CalciteResultSet.java,1,242
core/src/main/java/org/apache/calcite/jdbc/JavaRecordType.java,1,247
linq4j/src/main/java/org/apache/calcite/linq4j/EnumerableDefaults.java,1,260
linq4j/src/main/java/org/apache/calcite/linq4j/Linq4j.java,1,271
linq4j/src/main/java/org/apache/calcite/linq4j/tree/Types.java,1,367
core/src/main/java/org/apache/calcite/materialize/Lattice.java,1,371
core/src/main/java/org/apache/calcite/materialize/MaterializationService.java,1,374
core/src/main/java/org/apache/calcite/plan/Contexts.java,1,396
core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java,0,398
core/src/main/java/org/apache/calcite/plan/RelOptCluster.java,1,404
core/src/main/java/org/apache/calcite/plan/RelOptMaterialization.java,1,411
core/src/main/java/org/apache/calcite/plan/RelOptQuery.java,1,415
core/src/main/java/org/apache/calcite/plan/RelOptRule.java,1,416
core/src/main/java/org/apache/calcite/plan/RelOptRuleCall.java,1,417
core/src/main/java/org/apache/calcite/plan/RelOptTable.java,1,424
core/src/main/java/org/apache/calcite/plan/hep/HepPlanner.java,0,435
core/src/main/java/org/apache/calcite/plan/hep/HepRelVertex.java,1,439
core/src/main/java/org/apache/calcite/plan/volcano/RelSet.java,0,443
core/src/main/java/org/apache/calcite/plan/volcano/RelSubset.java,0,444
core/src/main/java/org/apache/calcite/prepare/CalciteCatalogReader.java,0,453
core/src/main/java/org/apache/calcite/prepare/CalciteMaterializer.java,1,454
core/src/main/java/org/apache/calcite/prepare/LixToRelTranslator.java,1,457
core/src/main/java/org/apache/calcite/prepare/PlannerImpl.java,1,458
core/src/main/java/org/apache/calcite/prepare/RelOptTableImpl.java,1,461
core/src/main/java/org/apache/calcite/rel/AbstractRelNode.java,0,462
core/src/main/java/org/apache/calcite/rel/RelCollations.java,1,467
core/src/main/java/org/apache/calcite/rel/RelFieldCollation.java,1,471
core/src/main/java/org/apache/calcite/rel/RelInput.java,1,473
core/src/main/java/org/apache/calcite/rel/RelNode.java,1,474
core/src/main/java/org/apache/calcite/rel/SingleRel.java,1,480
core/src/main/java/org/apache/calcite/rel/core/AggregateCall.java,1,487
core/src/main/java/org/apache/calcite/rel/core/Filter.java,1,494
core/src/main/java/org/apache/calcite/rel/core/Project.java,0,500
core/src/main/java/org/apache/calcite/rel/core/RelFactories.java,1,501
core/src/main/java/org/apache/calcite/rel/core/SemiJoin.java,1,503
core/src/main/java/org/apache/calcite/rel/core/TableScan.java,1,509
core/src/main/java/org/apache/calcite/rel/core/Window.java,1,513
core/src/main/java/org/apache/calcite/rel/logical/LogicalAggregate.java,1,519
core/src/main/java/org/apache/calcite/rel/logical/LogicalProject.java,1,527
core/src/main/java/org/apache/calcite/rel/metadata/RelMdDistinctRowCount.java,1,548
core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java,1,555
core/src/main/java/org/apache/calcite/rel/metadata/RelMdSelectivity.java,1,557
core/src/main/java/org/apache/calcite/rel/metadata/RelMdUniqueKeys.java,1,559
core/src/main/java/org/apache/calcite/rel/rules/AggregateFilterTransposeRule.java,1,564
core/src/main/java/org/apache/calcite/rel/rules/AggregateJoinTransposeRule.java,1,565
core/src/main/java/org/apache/calcite/rel/rules/AggregateProjectPullUpConstantsRule.java,1,567
core/src/main/java/org/apache/calcite/rel/rules/AggregateReduceFunctionsRule.java,1,568
core/src/main/java/org/apache/calcite/rel/rules/AggregateRemoveRule.java,1,569
core/src/main/java/org/apache/calcite/rel/rules/AggregateStarTableRule.java,1,570
core/src/main/java/org/apache/calcite/rel/rules/AggregateUnionAggregateRule.java,1,571
core/src/main/java/org/apache/calcite/rel/rules/CalcRelSplitter.java,1,574
core/src/main/java/org/apache/calcite/rel/rules/CalcSplitRule.java,1,576
core/src/main/java/org/apache/calcite/rel/rules/FilterJoinRule.java,1,581
core/src/main/java/org/apache/calcite/rel/rules/FilterMergeRule.java,1,582
core/src/main/java/org/apache/calcite/rel/rules/FilterProjectTransposeRule.java,1,584
core/src/main/java/org/apache/calcite/rel/rules/FilterSetOpTransposeRule.java,1,586
core/src/main/java/org/apache/calcite/rel/rules/JoinAddRedundantSemiJoinRule.java,1,590
core/src/main/java/org/apache/calcite/rel/rules/JoinCommuteRule.java,1,592
core/src/main/java/org/apache/calcite/rel/rules/JoinProjectTransposeRule.java,1,594
core/src/main/java/org/apache/calcite/rel/rules/JoinPushThroughJoinRule.java,1,595
core/src/main/java/org/apache/calcite/rel/rules/JoinPushTransitivePredicatesRule.java,1,596
core/src/main/java/org/apache/calcite/rel/rules/JoinToCorrelateRule.java,1,597
core/src/main/java/org/apache/calcite/rel/rules/LoptOptimizeJoinRule.java,1,602
core/src/main/java/org/apache/calcite/rel/rules/LoptSemiJoinOptimizer.java,1,603
core/src/main/java/org/apache/calcite/rel/rules/MultiJoinOptimizeBushyRule.java,1,605
core/src/main/java/org/apache/calcite/rel/rules/ProjectMergeRule.java,1,610
core/src/main/java/org/apache/calcite/rel/rules/ProjectMultiJoinMergeRule.java,1,611
core/src/main/java/org/apache/calcite/rel/rules/ProjectSortTransposeRule.java,1,614
core/src/main/java/org/apache/calcite/rel/rules/SemiJoinFilterTransposeRule.java,1,622
core/src/main/java/org/apache/calcite/rel/rules/SemiJoinJoinTransposeRule.java,1,623
core/src/main/java/org/apache/calcite/rel/rules/SemiJoinProjectTransposeRule.java,1,624
core/src/main/java/org/apache/calcite/rel/rules/UnionMergeRule.java,1,630
core/src/main/java/org/apache/calcite/rel/rules/UnionToDistinctRule.java,1,631
core/src/main/java/org/apache/calcite/rel/rules/ValuesReduceRule.java,0,632
core/src/main/java/org/apache/calcite/rex/RexCall.java,1,653
core/src/main/java/org/apache/calcite/rex/RexCallBinding.java,1,654
core/src/main/java/org/apache/calcite/rex/RexLiteral.java,1,664
core/src/main/java/org/apache/calcite/rex/RexProgramBuilder.java,1,673
core/src/main/java/org/apache/calcite/rex/RexUtil.java,1,684
core/src/main/java/org/apache/calcite/runtime/CalciteResource.java,1,697
core/src/main/java/org/apache/calcite/runtime/Like.java,0,703
core/src/main/java/org/apache/calcite/schema/Schemas.java,1,728
core/src/main/java/org/apache/calcite/schema/impl/MaterializedViewTable.java,1,742
core/src/main/java/org/apache/calcite/schema/impl/ReflectiveFunctionBase.java,0,743
core/src/main/java/org/apache/calcite/schema/impl/ViewTable.java,1,748
core/src/main/java/org/apache/calcite/server/CalciteServerStatement.java,1,750
core/src/main/java/org/apache/calcite/sql/SqlAggFunction.java,1,759
core/src/main/java/org/apache/calcite/sql/SqlIdentifier.java,1,778
core/src/main/java/org/apache/calcite/sql/SqlIntervalQualifier.java,0,784
core/src/main/java/org/apache/calcite/sql/SqlOperator.java,1,795
core/src/main/java/org/apache/calcite/sql/SqlOperatorBinding.java,1,796
core/src/main/java/org/apache/calcite/sql/SqlOverOperator.java,1,799
core/src/main/java/org/apache/calcite/sql/SqlSelect.java,0,805
core/src/main/java/org/apache/calcite/sql/SqlSetOperator.java,0,808
core/src/main/java/org/apache/calcite/sql/SqlSetOption.java,0,809
core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisorValidator.java,0,827
core/src/main/java/org/apache/calcite/sql/fun/SqlBetweenOperator.java,0,832
core/src/main/java/org/apache/calcite/sql/fun/SqlCountAggFunction.java,1,839
core/src/main/java/org/apache/calcite/sql/fun/SqlExtractFunction.java,1,843
core/src/main/java/org/apache/calcite/sql/fun/SqlMinMaxAggFunction.java,1,854
core/src/main/java/org/apache/calcite/sql/fun/SqlSumAggFunction.java,1,872
